ParkingSpotID Timestamp Occupied
Parking_18 1516350541091 1

Parking_19 1516350841051 1

Parking_15 1516351142408 0

Parking_14 1516351141616 1

Parking_28 1516351453611 1

Parking_27 1516351453293 1

Parking_15 1516352042467 1

Parking_15 1516352342620 0

Parking_15 1516352643936 1

Parking_18 1516359541334 1

Parking_32 1516360143023 0

Parking_32 1516360443788 1

Parking_25 1516360742185 0

Parking_25 1516361040695 1

Parking_12 1516361042584 0

Parking_12 1516361348439 1

Parking_26 1516362557068 0

Parking_26 1516363143759 0

Parking_26 1516363440652 1

Parking_04 1516363442661 0

Parking_32 1516363769108 0

Parking_04 1516363768241 1

Parking_32 1516364043180 1

Parking_25 1516365542501 0

Parking_25 1516365851423 1

Parking_11 1516366443857 0

Parking_11 1516367042039 1

Parking_26 1516368243535 0

Parking_26 1516368540896 1

Parking_26 1516368843429 0

Parking_26 1516369149953 1

Parking_26 1516369442217 0

Parking_26 1516369740552 1

Parking_06 1516369742776 0

Parking_32 1516370342482 0

Parking_32 1516370659673 1

Parking_26 1516371842769 0

Parking_14 1516371842383 0

Parking_12 1516372142044 0

Parking_10 1516372443158 0

Parking_26 1516372440642 1

Parking_15 1516372443511 0

Parking_12 1516372442370 1

Parking_32 1516372742235 0

Parking_27 1516372743372 0

Parking_32 1516373052523 1

Parking_31 1516373348520 0

Parking_07 1516374245379 0

Parking_12 1516374245647 0

Parking_03 1516374574665 0

Parking_12 1516374574229 1

Parking_01 1516374842143 0

Parking_12 1516374842933 0

Parking_13 1516375446252 0

Parking_16 1516375743643 0

Parking_25 1516376640668 1

Parking_31 1516376642947 1

Parking_06 1516376643607 0

Parking_02 1516376948258 0

Parking_32 1516377241862 1

Parking_04 1516377242725 0

Parking_31 1516377863090 0

Parking_32 1516377862591 0

Parking_24 1516377863430 0

Parking_05 1516377862082 0

Parking_11 1516378742576 0

Parking_25 1516378741430 0

Parking_08 1516378742981 0

Parking_30 1516379061869 0

Parking_26 1516379062699 0

Parking_32 1516379341520 1

Parking_28 1516379343090 0

Parking_14 1516379340885 1

Parking_09 1516379342354 0

Parking_30 1516379641188 1

Parking_32 1516379642101 0

Parking_14 1516379643068 0

Parking_30 1516379964556 0

Parking_21 1516379965236 0

Parking_24 1516379963195 1

Parking_29 1516380241785 0

Parking_18 1516381442442 0

Parking_26 1516382054859 1

Parking_14 1516382341049 1

Parking_14 1516382642376 0

Parking_32 1516382941733 1

Parking_14 1516382941048 1

Parking_24 1516383542131 0

Parking_14 1516383841977 0

Parking_25 1516384468785 1

Parking_24 1516384740774 1

Parking_04 1516385041043 1

Parking_26 1516385350143 0

Parking_24 1516385351826 0

Parking_04 1516385352178 0

Parking_23 1516385642042 0

Parking_25 1516386563913 0

Parking_17 1516386842613 0

Parking_20 1516387742065 0

Parking_32 1516388042193 1

Parking_14 1516388041518 1

Parking_14 1516389542056 0

Parking_32 1516390440925 0

Parking_32 1516395240494 1

Parking_32 1516395540899 0

Parking_32 1516415940405 1

Parking_32 1516417140914 0

Parking_32 1516423440479 1

Parking_25 1516425840386 1

Parking_25 1516426141194 0

Parking_32 1516429440850 0

Parking_32 1516429740621 1

Parking_26 1516433340779 1

Parking_26 1516433641100 0

Parking_32 1516435151500 1

Parking_26 1516435440648 1

Parking_25 1516439046439 1

Parking_25 1516439341011 0

Parking_27 1516439640439 1

Parking_27 1516439941937 0

Parking_25 1516441140463 1

Parking_25 1516441440964 0

Parking_02 1516442040469 1

Parking_02 1516442341847 0

Parking_23 1516445340490 1

Parking_14 1516446252524 1

Parking_14 1516446541946 0

Parking_26 1516450742266 0

Parking_23 1516451941276 0

Parking_25 1516465140443 1

Parking_25 1516465441428 0

Parking_26 1516465440516 1

Parking_32 1516465742659 0

Parking_25 1516489140495 1

Parking_25 1516489742556 0

Parking_26 1516489740818 0

Parking_26 1516490640428 1

Parking_26 1516490940701 0

Parking_26 1516491240455 1

Parking_32 1516498140460 1

Parking_26 1516499640740 1

